path,pos_frac,has_pos
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000021.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000022.npz,0.0097198486328125,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000023.npz,0.0898590087890625,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000024.npz,0.1721954345703125,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000025.npz,0.0098114013671875,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000026.npz,0.0084991455078125,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000027.npz,0.0076904296875,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000028.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000029.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000030.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000031.npz,0.003753662109375,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000032.npz,0.1008453369140625,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000033.npz,0.0701904296875,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000034.npz,0.0557861328125,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000035.npz,0.087860107421875,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000036.npz,0.040802001953125,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000037.npz,0.011688232421875,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000038.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000039.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000040.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000041.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000042.npz,0.017333984375,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000043.npz,0.104095458984375,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000044.npz,0.0985107421875,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000045.npz,0.1880950927734375,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000046.npz,0.083343505859375,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000047.npz,0.017547607421875,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000048.npz,0.0015411376953125,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000049.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000050.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000051.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000052.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000053.npz,0.033599853515625,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000054.npz,0.069061279296875,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000055.npz,0.1048583984375,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000056.npz,0.0512237548828125,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000057.npz,0.0356597900390625,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000058.npz,0.0092315673828125,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000059.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000060.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000061.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000062.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000063.npz,0.0075225830078125,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000064.npz,0.0497589111328125,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000065.npz,0.0615234375,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000066.npz,0.064422607421875,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000067.npz,0.0733184814453125,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000068.npz,0.0052490234375,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000069.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000070.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000071.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000072.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000073.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000074.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000075.npz,0.0034332275390625,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000076.npz,0.0010986328125,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000077.npz,0.064208984375,1
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000078.npz,9.1552734375e-05,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000079.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000080.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000081.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000082.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000083.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000084.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000085.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000086.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000087.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000088.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000089.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000090.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000091.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000092.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000093.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000094.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000095.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000096.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000097.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000098.npz,0.0,0
/Users/radish/Desktop/Tsinghua/HI Bubble Detection/patches_256s192/tile_000099.npz,0.0,0
